الشركة,السوق,الرمز,السنة,الربع,نهاية الفترة,نوع الفترة,المقياس,القيمة,العملة,الوحدة,المصدر
Saudi Arabian Oil Company (Aramco),SA,2222,2026,2,2026-06-30,quarter,النفقات الرأسمالية,49389000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2026/h1/saudi-aramco-h1-2026-interim-report-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2026,2,2026-06-30,ytd,النفقات الرأسمالية,94743000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2026/h1/saudi-aramco-h1-2026-interim-report-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2026,2,2026-06-30,instant,النقد وما في حكمه,167387000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2026/h1/saudi-aramco-h1-2026-interim-report-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2026,2,2026-06-30,quarter,التدفق النقدي الحر,45976000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2026/h1/saudi-aramco-h1-2026-interim-report-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2026,2,2026-06-30,ytd,التدفق النقدي الحر,115864000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2026/h1/saudi-aramco-h1-2026-interim-report-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2026,2,2026-06-30,instant,الالتزامات إلى حقوق الملكية,0.4919327041353000365847343096,,ratio,https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2026/h1/saudi-aramco-h1-2026-interim-report-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2026,2,2026-06-30,quarter,صافي الربح,122599000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2026/h1/saudi-aramco-h1-2026-interim-report-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2026,2,2026-06-30,ytd,صافي الربح,244607000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2026/h1/saudi-aramco-h1-2026-interim-report-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2026,2,2026-06-30,quarter,هامش صافي الربح,0.2719756329142005270957379784,,ratio,https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2026/h1/saudi-aramco-h1-2026-interim-report-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2026,2,2026-06-30,ytd,هامش صافي الربح,0.2767445096750324990128672332,,ratio,https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2026/h1/saudi-aramco-h1-2026-interim-report-english.pdf
